au,date,index,dep,reg,nat,dmean,qual,dep_qual,kfrac,rfrac,tfrac,isField,start_times,end_times,cit_times,tot_cits,isCiter,isMove
"ABARBANELL, J",1991,0,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0251572327,0.0205655527,0.0213505462,0,1990,2003,,,0,False
"ABARBANELL, J",1992,2,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0179640719,0.024691358,0.025083612,0,1990,2003,,,0,False
"ABARBANELL, J",1993,4,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0352941176,0.0299703264,0.02945237,0,1990,2003,,,0,False
"ABARBANELL, J",1994,6,UNIV MICHIGAN,E,USA,0.035971223,1,0.8846153846,0.0304878049,0.0328060926,0.0316143498,0,1990,2003,,,0,False
"ABBOTT, P",1986,1390,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0,0,0,1978,2002,,,0,False
"ABBOTT, P",1987,1391,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0.0015461925,0.0011994003,0,1978,2002,,,0,False
"ABBOTT, P",1988,1392,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0.006256901,0.0065639269,0,1978,2002,,,0,False
"ABBOTT, P",1989,1393,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0,0.01018974,0.0100488865,0,1978,2002,,,0,False
"ABBOTT, P",1990,1394,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0303030303,0.0163442295,0.0160123967,0,1978,2002,,,0,False
"ABBOTT, P",1991,1395,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.03125,0.0205655527,0.0213505462,0,1978,2002,,,0,False
"ABBOTT, P",1992,1396,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0322580645,0.024691358,0.025083612,0,1978,2002,,,0,False
"ABBOTT, P",1993,1397,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0294117647,0.0299703264,0.02945237,0,1978,2002,,,0,False
"ABBOTT, P",1994,1398,PURDUE UNIV,E,USA,0.0033783784,1,0.4903846154,0.0294117647,0.0328060926,0.0316143498,0,1978,2002,,,0,False
"ABDALLA, C",1992,1686,PENN STATE UNIV,E,USA,0.067251462,1,0.6634615385,0,0.024691358,0.025083612,0,1991,2005,,,0,False
"ABDALLA, C",1993,1687,PENN STATE UNIV,E,USA,0.067251462,1,0.6634615385,0,0.0299703264,0.02945237,0,1991,2005,,,0,False
"ABDALLA, C",1994,1688,PENN STATE UNIV,E,USA,0.067251462,1,0.6634615385,0,0.0328060926,0.0316143498,0,1991,2005,,,0,False
"ABDELRAHMAN, H",1988,2028,OTHER,E,USA,0.0585529067,1,0,0.0045045045,0.006256901,0.0065639269,0,1987,1997,,,0,False
"ABDELRAHMAN, H",1989,2029,OTHER,E,USA,0.0585529067,1,0,0.0041322314,0.01018974,0.0100488865,0,1987,1997,,,0,False
"ABDELRAHMAN, H",1990,2030,OTHER,E,USA,0.0585529067,1,0,0.0038910506,0.0163442295,0.0160123967,0,1987,1997,,,0,False
"ABDELRAHMAN, H",1991,2031,OTHER,E,USA,0.0585529067,1,0,0.0153846154,0.0205655527,0.0213505462,0,1987,1997,,,0,False
"ABDELRAHMAN, H",1992,2032,OTHER,E,USA,0.0585529067,1,0,0.0183150183,0.024691358,0.025083612,0,1987,1997,,,0,False
"ABDELRAHMAN, H",1993,2033,OTHER,E,USA,0.0585529067,1,0,0.0276816609,0.0299703264,0.02945237,0,1987,1997,,,0,False
"ABDELRAHMAN, H",1994,2034,OTHER,E,USA,0.0585529067,1,0,0.0393258427,0.0328060926,0.0316143498,0,1987,1997,,,0,False
"ABEL, A",1986,4419,HARVARD UNIV,E,USA,0.0147368421,1,1,0,0,0,0,1978,2007,,,0,False
"ABEL, A",1987,5369,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0,0.0015461925,0.0011994003,0,1978,2007,,,0,False
"ABEL, A",1988,5370,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0.0107526882,0.006256901,0.0065639269,0,1978,2007,,,0,False
"ABEL, A",1989,4420,HARVARD UNIV,E,USA,0.0147368421,1,1,0,0.01018974,0.0100488865,0,1978,2007,,,0,False
"ABEL, A",1990,5371,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0,0.0163442295,0.0160123967,0,1978,2007,,,0,False
"ABEL, A",1991,5372,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0,0.0205655527,0.0213505462,0,1978,2007,,,0,False
"ABEL, A",1992,5373,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0.0095238095,0.024691358,0.025083612,0,1978,2007,,,0,False
"ABEL, A",1993,5374,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0.0096153846,0.0299703264,0.02945237,0,1978,2007,,,0,False
"ABEL, A",1994,5375,UNIV PENN,E,USA,0.0414798206,1,0.9038461538,0.0099009901,0.0328060926,0.0316143498,0,1978,2007,,,0,False
"ABLER, D",1989,1689,PENN STATE UNIV,E,USA,0.067251462,0,0.6634615385,0,0.01018974,0.0100488865,0,1988,1999,,,0,False
"ABLER, D",1990,1690,PENN STATE UNIV,E,USA,0.067251462,0,0.6634615385,0,0.0163442295,0.0160123967,0,1988,1999,,,0,False
"ABLER, D",1991,1691,PENN STATE UNIV,E,USA,0.067251462,0,0.6634615385,0,0.0205655527,0.0213505462,0,1988,1999,,,0,False
"ABLER, D",1992,1692,PENN STATE UNIV,E,USA,0.067251462,0,0.6634615385,0,0.024691358,0.025083612,0,1988,1999,,,0,False
"ABLER, D",1993,1693,PENN STATE UNIV,E,USA,0.067251462,0,0.6634615385,0,0.0299703264,0.02945237,0,1988,1999,,,0,False
"ABLER, D",1994,1694,PENN STATE UNIV,E,USA,0.067251462,0,0.6634615385,0,0.0328060926,0.0316143498,0,1988,1999,,,0,False
"ABOWD, J",1986,6261,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0,0,0,1,1979,2006,,,0,False
"ABOWD, J",1987,6262,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0,0.0015461925,0.0011994003,1,1979,2006,,,0,False
"ABOWD, J",1988,6263,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0166666667,0.006256901,0.0065639269,1,1979,2006,,,0,False
"ABOWD, J",1989,6264,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0163934426,0.01018974,0.0100488865,1,1979,2006,,,0,False
"ABOWD, J",1990,6265,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0169491525,0.0163442295,0.0160123967,1,1979,2006,,,0,False
"ABOWD, J",1991,6266,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0172413793,0.0205655527,0.0213505462,1,1979,2006,,,0,False
"ABOWD, J",1992,6267,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0163934426,0.024691358,0.025083612,1,1979,2006,,,0,False
"ABOWD, J",1993,6268,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0161290323,0.0299703264,0.02945237,1,1979,2006,,,0,False
"ABOWD, J",1994,6269,CORNELL UNIV,E,USA,0.0163934426,1,0.8173076923,0.0138888889,0.0328060926,0.0316143498,1,1979,2006,,,0,False
"ABRAHAM, A",1994,6810,UNIV ROCHESTER,E,USA,0.0861111111,0,0.3557692308,0.0869565217,0.0328060926,0.0316143498,1,1993,2008,,,0,False
"ABRAHAM, K",1986,7170,MIT,E,USA,0.0869565217,1,0.9807692308,0,0,0,1,1979,2006,,,0,False
"ABRAHAM, K",1987,7171,MIT,E,USA,0.0869565217,1,0.9807692308,0,0.0015461925,0.0011994003,1,1979,2006,,,0,False
"ABRAHAM, K",1988,7814,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0,0.006256901,0.0065639269,1,1979,2006,,,0,False
"ABRAHAM, K",1989,7815,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0,0.01018974,0.0100488865,1,1979,2006,,,0,False
"ABRAHAM, K",1990,7816,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0,0.0163442295,0.0160123967,1,1979,2006,,,0,False
"ABRAHAM, K",1991,7817,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0.0147058824,0.0205655527,0.0213505462,1,1979,2006,,,0,False
"ABRAHAM, K",1992,7818,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0.0149253731,0.024691358,0.025083612,1,1979,2006,,,0,False
"ABRAHAM, K",1993,7819,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0.0135135135,0.0299703264,0.02945237,1,1979,2006,,,0,False
"ABRAHAM, K",1994,7820,UNIV MARYLAND,E,USA,0.0601769912,1,0.7980769231,0.0131578947,0.0328060926,0.0316143498,1,1979,2006,,,0,False
"ABRAMOVITZ, M",1986,8379,STANFORD UNIV,W,USA,0.0282685512,1,0.9326923077,0,0,0,0,1967,1990,,,0,False
"ABRAMOVITZ, M",1987,2035,OTHER,E,USA,0.0585529067,1,0,0,0.0015461925,0.0011994003,0,1967,1990,,,0,False
"ABRAMOVITZ, M",1988,2036,OTHER,E,USA,0.0585529067,1,0,0.0045045045,0.006256901,0.0065639269,0,1967,1990,,,0,False
"ABRAMOVITZ, M",1989,2037,OTHER,E,USA,0.0585529067,1,0,0.0041322314,0.01018974,0.0100488865,0,1967,1990,,,0,False
"ABRAMOVITZ, M",1990,2038,OTHER,E,USA,0.0585529067,1,0,0.0105263158,0.0148911798,0.0160123967,0,1967,1990,,,0,False
"ABRAMS, B",1986,9228,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0,0,0,1975,2006,,,0,False
"ABRAMS, B",1987,9229,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.0015461925,0.0011994003,0,1975,2006,,,0,False
"ABRAMS, B",1988,9230,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.006256901,0.0065639269,0,1975,2006,,,0,False
"ABRAMS, B",1989,9231,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.01018974,0.0100488865,0,1975,2006,,,0,False
"ABRAMS, B",1990,9232,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.0163442295,0.0160123967,0,1975,2006,,,0,False
"ABRAMS, B",1991,9233,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.0205655527,0.0213505462,0,1975,2006,,,0,False
"ABRAMS, B",1992,9234,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.024691358,0.025083612,0,1975,2006,,,0,False
"ABRAMS, B",1993,9235,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.0299703264,0.02945237,0,1975,2006,,,0,False
"ABRAMS, B",1994,9236,UNIV DELAWARE,E,USA,0,0,0.3461538462,0,0.0328060926,0.0316143498,0,1975,2006,,,0,False
"ABRAMSON, B",1991,9353,CARNEGIE MELLON UNIV,E,USA,0.0472440945,0,0.625,0.0227272727,0.0205655527,0.0213505462,0,1990,1996,,,0,False
"ABRAMSON, B",1992,9354,CARNEGIE MELLON UNIV,E,USA,0.0472440945,0,0.625,0.0217391304,0.024691358,0.025083612,0,1990,1996,,,0,False
"ABRAMSON, B",1993,9355,CARNEGIE MELLON UNIV,E,USA,0.0472440945,0,0.625,0.0212765957,0.0299703264,0.02945237,0,1990,1996,,,0,False
"ABRAMSON, B",1994,9356,CARNEGIE MELLON UNIV,E,USA,0.0472440945,0,0.625,0.0217391304,0.0328060926,0.0316143498,0,1990,1996,,,0,False
"ABREU, D",1986,9734,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0,0,0,0,1985,2003,,,0,False
"ABREU, D",1987,9735,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0,0.0015461925,0.0011994003,0,1985,2003,,,0,False
"ABREU, D",1988,9736,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0,0.006256901,0.0065639269,0,1985,2003,,,0,False
"ABREU, D",1989,9737,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0,0.01018974,0.0100488865,0,1985,2003,,,0,False
"ABREU, D",1990,9738,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0.0178571429,0.0163442295,0.0160123967,0,1985,2003,,,0,False
"ABREU, D",1991,9739,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0.0178571429,0.0205655527,0.0213505462,0,1985,2003,,,0,False
"ABREU, D",1992,9740,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0.0172413793,0.024691358,0.025083612,0,1985,2003,,,0,False
"ABREU, D",1993,9741,YALE UNIV,E,USA,0.0267489712,1,0.9230769231,0.0212765957,0.0299703264,0.02945237,0,1985,2003,,,0,False
"ABREU, D",1994,10220,PRINCETON UNIV,E,USA,0.0512820513,1,0.9711538462,0.0327868852,0.0328060926,0.0316143498,0,1985,2003,,,0,False
"ACEMOGLU, D",1994,7172,MIT,E,USA,0.0869565217,1,0.9807692308,0.1216216216,0.0328060926,0.0316143498,1,1993,2010,,,0,False
"ACHARYA, S",1986,10649,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0,0,0,0,1980,1996,,,0,False
"ACHARYA, S",1987,10651,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0,0.0015461925,0.0011994003,0,1980,1996,,,0,False
"ACHARYA, S",1988,10653,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0,0.006256901,0.0065639269,0,1980,1996,,,0,False
"ACHARYA, S",1989,10655,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0,0.01018974,0.0100488865,0,1980,1996,,,0,False
"ACHARYA, S",1990,10657,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0,0.0163442295,0.0160123967,0,1980,1996,,,0,False
"ACHARYA, S",1991,10659,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0,0.0205655527,0.0213505462,0,1980,1996,,,0,False
"ACHARYA, S",1992,10661,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0.0114942529,0.024691358,0.025083612,0,1980,1996,,,0,False
"ACHARYA, S",1993,10663,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0.011627907,0.0299703264,0.02945237,0,1980,1996,,,0,False
"ACHARYA, S",1994,10665,UNIV ILLINOIS,E,USA,0.0310296192,0,0.5576923077,0.011627907,0.0328060926,0.0316143498,0,1980,1996,,,0,False
"ACS, Z",1989,2039,OTHER,E,USA,0.0585529067,1,0,0.0041322314,0.01018974,0.0100488865,1,1988,2010,1991,2,0,False
"ACS, Z",1990,2040,OTHER,E,USA,0.0585529067,1,0,0.0038910506,0.0163442295,0.0160123967,1,1988,2010,1991,2,0,False
"ACS, Z",1991,2041,OTHER,E,USA,0.0585529067,1,0,0.0153846154,0.0205655527,0.0213505462,1,1988,2010,1991,2,1,False
"ACS, Z",1992,2042,OTHER,E,USA,0.0585529067,1,0,0.0183150183,0.024691358,0.025083612,1,1988,2010,1991,2,1,False
"ACS, Z",1993,2043,OTHER,E,USA,0.0585529067,1,0,0.0276816609,0.0299703264,0.02945237,1,1988,2010,1991,2,1,False
"ACS, Z",1994,2044,OTHER,E,USA,0.0585529067,1,0,0.0393258427,0.0328060926,0.0316143498,1,1988,2010,1991,2,1,False
"ACTON, J",1986,12067,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0,0,0,0,1974,1992,,,0,False
"ACTON, J",1987,12068,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0,0.0015461925,0.0011994003,0,1974,1992,,,0,False
"ACTON, J",1988,12069,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0,0.006256901,0.0065639269,0,1974,1992,,,0,False
"ACTON, J",1989,12070,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0,0.01018974,0.0100488865,0,1974,1992,,,0,False
"ACTON, J",1990,12071,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0.0285714286,0.0163442295,0.0160123967,0,1974,1992,,,0,False
"ACTON, J",1991,12072,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0.0243902439,0.0205655527,0.0213505462,0,1974,1992,,,0,False
"ACTON, J",1992,12073,BOSTON UNIV,E,USA,0.0126582278,1,0.9134615385,0.025,0.024691358,0.025083612,0,1974,1992,,,0,False
"ADAIR, L",1992,12383,UNIV N CAROLINA,E,USA,0,0,0.4038461538,0,0.024691358,0.025083612,0,1991,2009,,,0,False
"ADAIR, L",1993,12385,UNIV N CAROLINA,E,USA,0,0,0.4038461538,0.0173913043,0.0299703264,0.02945237,0,1991,2009,,,0,False
"ADAIR, L",1994,12387,UNIV N CAROLINA,E,USA,0,0,0.4038461538,0.0341880342,0.0328060926,0.0316143498,0,1991,2009,,,0,False
"ADAMS, D",1986,13265,OHIO STATE UNIV,E,USA,0.0408602151,0,0.7403846154,0,0,0,0,1967,2009,,,0,False
"ADAMS, D",1987,13266,OHIO STATE UNIV,E,USA,0.0408602151,0,0.7403846154,0,0.0015461925,0.0011994003,0,1967,2009,,,0,False
"ADAMS, D",1988,13267,OHIO STATE UNIV,E,USA,0.0408602151,0,0.7403846154,0.0217391304,0.006256901,0.0065639269,0,1967,2009,,,0,False
"ADAMS, D",1989,2045,OTHER,E,USA,0.0585529067,0,0,0.0041322314,0.01018974,0.0100488865,0,1967,2009,,,0,False
"ADAMS, D",1990,2046,OTHER,E,USA,0.0585529067,0,0,0.0038910506,0.0163442295,0.0160123967,0,1967,2009,,,0,False
"ADAMS, D",1991,2047,OTHER,E,USA,0.0585529067,0,0,0.0153846154,0.0205655527,0.0213505462,0,1967,2009,,,0,False
"ADAMS, D",1992,2048,OTHER,E,USA,0.0585529067,0,0,0.0183150183,0.024691358,0.025083612,0,1967,2009,,,0,False
"ADAMS, D",1993,2049,OTHER,E,USA,0.0585529067,0,0,0.0276816609,0.0299703264,0.02945237,0,1967,2009,,,0,False
"ADAMS, D",1994,2050,OTHER,E,USA,0.0585529067,0,0,0.0491803279,0.0328060926,0.0316143498,0,1967,2009,,,0,False
"ADAMS, F",1986,5376,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0,0,0,1,1967,2008,,,0,False
"ADAMS, F",1987,5377,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0,0.0015461925,0.0011994003,1,1967,2008,,,0,False
"ADAMS, F",1988,5378,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0.0107526882,0.006256901,0.0065639269,1,1967,2008,,,0,False
"ADAMS, F",1989,5379,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0,0.01018974,0.0100488865,1,1967,2008,,,0,False
"ADAMS, F",1990,5380,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0,0.0163442295,0.0160123967,1,1967,2008,,,0,False
"ADAMS, F",1991,5381,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0,0.0205655527,0.0213505462,1,1967,2008,,,0,False
"ADAMS, F",1992,5382,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0.0095238095,0.024691358,0.025083612,1,1967,2008,,,0,False
"ADAMS, F",1993,5383,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0.0096153846,0.0299703264,0.02945237,1,1967,2008,,,0,False
"ADAMS, F",1994,5384,UNIV PENN,E,USA,0.0414798206,0,0.9038461538,0.0099009901,0.0328060926,0.0316143498,1,1967,2008,,,0,False
"ADAMS, J",1986,13730,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0,0,0,1968,2003,,,0,False
"ADAMS, J",1987,13731,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.0015461925,0.0011994003,0,1968,2003,,,0,False
"ADAMS, J",1988,13732,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.006256901,0.0065639269,0,1968,2003,,,0,False
"ADAMS, J",1989,13733,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.01018974,0.0100488865,0,1968,2003,,,0,False
"ADAMS, J",1990,13734,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.0163442295,0.0160123967,0,1968,2003,,,0,False
"ADAMS, J",1991,13735,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.0205655527,0.0213505462,0,1968,2003,,,0,False
"ADAMS, J",1992,13736,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.024691358,0.025083612,0,1968,2003,,,0,False
"ADAMS, J",1993,13737,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0,0.0299703264,0.02945237,0,1968,2003,,,0,False
"ADAMS, J",1994,13738,UNIV FLORIDA,E,USA,0.0060422961,1,0.2307692308,0.05,0.0328060926,0.0316143498,0,1968,2003,,,0,False
"ADAMS, R",1986,2051,OTHER,E,USA,0.0585529067,0,0,0,0,0,0,1965,2010,,,0,False
"ADAMS, R",1987,2052,OTHER,E,USA,0.0585529067,0,0,0,0.0015461925,0.0011994003,0,1965,2010,,,0,False
"ADAMS, R",1988,2053,OTHER,E,USA,0.0585529067,0,0,0.0045045045,0.006256901,0.0065639269,0,1965,2010,,,0,False
"ADAMS, R",1989,2054,OTHER,E,USA,0.0585529067,0,0,0.0041322314,0.01018974,0.0100488865,0,1965,2010,,,0,False
"ADAMS, R",1990,2055,OTHER,E,USA,0.0585529067,0,0,0.0038910506,0.0163442295,0.0160123967,0,1965,2010,,,0,False
"ADAMS, R",1991,2056,OTHER,E,USA,0.0585529067,0,0,0.0153846154,0.0205655527,0.0213505462,0,1965,2010,,,0,False
"ADAMS, R",1992,2057,OTHER,E,USA,0.0585529067,0,0,0.0183150183,0.024691358,0.025083612,0,1965,2010,,,0,False
"ADAMS, R",1993,2058,OTHER,E,USA,0.0585529067,0,0,0.0276816609,0.0299703264,0.02945237,0,1965,2010,,,0,False
"ADAMS, R",1994,2059,OTHER,E,USA,0.0585529067,0,0,0.0393258427,0.0328060926,0.0316143498,0,1965,2010,,,0,False
"ADAMS, W",1986,2060,OTHER,E,USA,0.0585529067,1,0,0,0,0,0,1965,2009,,,0,False
"ADAMS, W",1987,2061,OTHER,E,USA,0.0585529067,1,0,0,0.0015461925,0.0011994003,0,1965,2009,,,0,False
"ADAMS, W",1988,2062,OTHER,E,USA,0.0585529067,1,0,0.0045045045,0.006256901,0.0065639269,0,1965,2009,,,0,False
"ADAMS, W",1989,2063,OTHER,E,USA,0.0585529067,1,0,0.0041322314,0.01018974,0.0100488865,0,1965,2009,,,0,False
"ADAMS, W",1990,2064,OTHER,E,USA,0.0585529067,1,0,0.0038910506,0.0163442295,0.0160123967,0,1965,2009,,,0,False
"ADAMS, W",1991,2065,OTHER,E,USA,0.0585529067,1,0,0.0153846154,0.0205655527,0.0213505462,0,1965,2009,,,0,False
"ADAMS, W",1992,2066,OTHER,E,USA,0.0585529067,1,0,0.0183150183,0.024691358,0.025083612,0,1965,2009,,,0,False
"ADAMS, W",1993,2067,OTHER,E,USA,0.0585529067,1,0,0.0276816609,0.0299703264,0.02945237,0,1965,2009,,,0,False
"ADAMS, W",1994,2068,OTHER,E,USA,0.0585529067,1,0,0.0393258427,0.0328060926,0.0316143498,0,1965,2009,,,0,False
"ADDISON, J",1986,14061,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0,0,1,1980,2009,,,0,False
"ADDISON, J",1987,14062,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.0015461925,0.0011994003,1,1980,2009,,,0,False
"ADDISON, J",1988,14063,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.006256901,0.0065639269,1,1980,2009,,,0,False
"ADDISON, J",1989,14064,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.01018974,0.0100488865,1,1980,2009,,,0,False
"ADDISON, J",1990,14065,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.0163442295,0.0160123967,1,1980,2009,,,0,False
"ADDISON, J",1991,14066,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.0205655527,0.0213505462,1,1980,2009,,,0,False
"ADDISON, J",1992,14067,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.024691358,0.025083612,1,1980,2009,,,0,False
"ADDISON, J",1993,14068,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.0299703264,0.02945237,1,1980,2009,,,0,False
"ADDISON, J",1994,14069,UNIV S CAROLINA,E,USA,0.1058823529,0,0.2115384615,0,0.0328060926,0.0316143498,1,1980,2009,,,0,False
"ADELMAN, I",1986,14146,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0,0,0,0,1965,2000,,,0,False
"ADELMAN, I",1987,14147,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0,0,0.0011994003,0,1965,2000,,,0,False
"ADELMAN, I",1988,14148,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0104166667,0.0076335878,0.0065639269,0,1965,2000,,,0,False
"ADELMAN, I",1989,14149,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0102040816,0.0095808383,0.0100488865,0,1965,2000,,,0,False
"ADELMAN, I",1990,14150,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0275229358,0.0148911798,0.0160123967,0,1965,2000,,,0,False
"ADELMAN, I",1991,14151,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0256410256,0.0240437158,0.0213505462,0,1965,2000,,,0,False
"ADELMAN, I",1992,14152,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0256410256,0.0264550265,0.025083612,0,1965,2000,,,0,False
"ADELMAN, I",1993,14153,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0347826087,0.0276923077,0.02945237,0,1965,2000,,,0,False
"ADELMAN, I",1994,14154,UNIV CALIF BERKELEY,W,USA,0.0457446809,0,0.9615384615,0.0416666667,0.0277511962,0.0316143498,0,1965,2000,,,0,False
"ADELMAN, M",1986,7173,MIT,E,USA,0.0869565217,1,0.9807692308,0,0,0,0,1985,2005,,,0,False
"ADELMAN, M",1987,7174,MIT,E,USA,0.0869565217,1,0.9807692308,0.0144927536,0.0015461925,0.0011994003,0,1985,2005,,,0,False
"ADELMAN, M",1988,7175,MIT,E,USA,0.0869565217,1,0.9807692308,0.0144927536,0.006256901,0.0065639269,0,1985,2005,,,0,False
"ADELMAN, M",1989,7176,MIT,E,USA,0.0869565217,1,0.9807692308,0.0266666667,0.01018974,0.0100488865,0,1985,2005,,,0,False
"ADELMAN, M",1990,7177,MIT,E,USA,0.0869565217,1,0.9807692308,0.0547945205,0.0163442295,0.0160123967,0,1985,2005,,,0,False
"ADELMAN, M",1991,2069,OTHER,E,USA,0.0585529067,1,0,0.0153846154,0.0205655527,0.0213505462,0,1985,2005,,,0,False
"ADELMAN, M",1992,2070,OTHER,E,USA,0.0585529067,1,0,0.0183150183,0.024691358,0.025083612,0,1985,2005,,,0,False
"ADELMAN, M",1993,2071,OTHER,E,USA,0.0585529067,1,0,0.0276816609,0.0299703264,0.02945237,0,1985,2005,,,0,False
"ADELMAN, M",1994,2072,OTHER,E,USA,0.0585529067,1,0,0.1216216216,0.0328060926,0.0316143498,0,1985,2005,,,0,False
"ADMATI, A",1986,8380,STANFORD UNIV,W,USA,0.0282685512,1,0.9326923077,0,0,0,1,1984,2009,,,0,False
"ADMATI, A",1987,8381,STANFORD UNIV,W,USA,0.0282685512,1,0.9326923077,0,0,0.0011994003,1,1984,2009,,,0,False
"ADMATI, A",1988,8382,STANFORD UNIV,W,USA,0.0282685512,1,0.9326923077,0,0.0076335878,0.0065639269,1,1984,2009,,,0,False
