au|qual
CHATTOPADHYAY, S|12.79167
CHAU, N|5.714286
CHAUVET, M|12
CHAVA, S|8.333333
CHAVAS, J|10.79091
CHAY, K|16.33704
CHE, Y|24.65278
CHECHILE, R|5.166667
CHEMMANUR, T|17.08333
CHEN, B|9.483334
CHEN, D|3.944444
CHEN, H|10.88847
CHEN, J|19.24412
CHEN, K|11.62222
CHEN, L|4.917857
CHEN, M|9.999999
CHEN, N|13.58333
CHEN, Q|10.21667
CHEN, S|11.59069
CHEN, X|15.07467
CHEN, Y|10.57364
CHEN, Z|10.8537
CHENG, H|9.555555
CHENG, J|5.270833
CHENG, L|12.45455
CHENG, M|20
CHENG, S|12.94444
CHENG, Y|6.733334
CHERIDITO, P|13.83333
CHERMACK, T|11.4
CHERNEW, M|4.181818
CHERNICK, H|5.383333
CHERNOZHUKOV, V|15.80556
CHERRY, T|7.576042
CHESBROUGH, H|69.75
CHETTY, R|13.71429
CHETTY, V|43.75
CHEUNG, F|9.333333
CHEUNG, S|68.88889
CHEUNG, Y|24.15778
CHEVALIER, J|40.93333
CHHIBBER, P|10
CHIANG, T|7
CHIAPPORI, P|13.3757
CHIARELLA, C|3
CHIB, S|41.48106
CHICHILNISKY, G|21.83333
CHILDS, P|6.166666
CHIN, A|11.9375
CHINLOY, P|6.777778
CHINN, M|11.18333
CHINTAGUNTA, P|9.7
CHIPMAN, J|30.22727
CHIRINKO, R|20.47101
CHISWICK, B|38.98864
CHISWICK, C|9.333333
CHIU, Y|7.25
CHO, H|3.5
CHO, I|49.10606
CHO, J|9.925925
CHO, M|27.13095
CHOE, H|24.22223
CHOE, K|7.5
CHOI, C|8.7
CHOI, I|8.983334
CHOI, J|14.15812
CHOI, S|9.12963
CHOO, S|13.16667
CHORDIA, T|21.92222
CHOU, R|54
CHOW, G|32.43478
CHRIST, C|33.37037
CHRISTEN.LR|98.79167
CHRISTENSEN, B|12.67917
CHRISTENSEN, L|52.60714
CHRISTIAN, C|10.22222
CHRISTIANO, L|31.16111
CHRISTIE, A|133.625
CHRISTIE, W|9.5
CHRISTOFFERSEN, S|8
CHRISTOPHERSON, S|28.16667
CHUENPAGDEE, R|4.25
CHUN, H|11.66667
CHUN, Y|13.5
CHUNG, J|5.333333
CHUNG, K|8.819444
CHUNG, W|15.75
CHUNG, Y|16.10417
CHURCH, A|11.5
CHURCH, R|11.16667
CHWE, M|48.75
CHYI, H|7.1
CICCOTELLO, C|1.208333
CILIBERTO, F|9.333333
CIOCHETTI, B|2.896667
CLAGUE, C|10.875
CLAPP, J|10.23485
CLARIDA, R|36.0625
CLARK, D|8.921296
CLARK, G|15.63218
CLARK, J|13.2375
CLARK, K|30.35185
CLARK, P|30.75758
CLARK, R|7.791666
CLARK, S|15.25
CLARK, W|14.7037
CLARKE, J|5.721428
CLARKE, L|6.75
CLARKE, R|32.16667
CLARKSON, K|47
CLAY, D|12.05556
CLAY, K|10.40278
CLAYTON, E|6
CLEMENTI, G|9.666667
CLEMENTS, M|8.5
CLEVELAND, C|14.28571
CLOTFELTER, C|22.30714
CLOWER, R|37.72222
CLOYD, C|2.5
COASE, R|75.64706
COATE, D|33.70834
COATE, S|34.97126
COATSWORTH, J|8
COCHRANE, J|64.02903
COCKBURN, I|30.56786
COE, N|3.583333
COE, R|15.75
COEN, R|32.375
COGAN, J|28.16667
COGGINS, J|9.483334
COGLEY, T|22.78241
COHEN, A|24.88667
COHEN, B|18.1
COHEN, J|15.85606
COHEN, K|8.658333
COHEN, M|22.45741
COHEN, R|16.69048
COHEN, S|6.027778
COHEN, W|115.2593
COHN, E|11.10417
COIFMAN, B|29.1
COILE, C|4.854167
COLANDER, D|9.95
COLBY, B|28.8
COLE, C|6.5
COLE, D|7.75
COLE, H|15.17029
COLE, S|9.708333
COLEMAN, J|20.32143
COLEMAN, W|21.7381
COLES, J|22.50595
COLES, M|7.361111
COLLENDER, R|6.8
COLLIER, K|2.777778
COLLIN-DUFRESNE, P|3.25
COLLINS, D|38.625
COLLINS, R|14.125
COLLINS, S|12.45833
COLLINS, W|9.5
COLQUITT, L|6.777778
COLTON, T|13.75
COLWELL, P|7.138889
COMANOR, W|22.69333
COMIN, D|9.116667
COMOLLI, P|13.5
CONGER, D|2.75
CONGLETON, R|15.73077
CONLEY, J|7.8
CONLEY, T|24.76191
CONLIN, M|7.45
CONLISK, J|22.18841
CONNER, J|1.766667
CONNING, J|25
CONNOLLY, R|29.93333
CONNOR, G|66.16666
CONNOR, J|8.285714
CONRAD, J|11.42803
CONRAD, K|8.5
CONRAD, R|11.375
CONROY, M|25.25
CONROY, R|4.166667
CONSIDINE, T|10.94444
CONSTANTINIDES, G|74.58334
CONWAY, D|10.95833
CONYON, M|7.570001
COOK, D|6.047619
COOK, M|23.33333
COOK, P|19.46944
COOK, S|5.5
COOK, T|21.58333
COOKE, T|10.66667
COOLEY, T|23.18155
COOPER, L|30.21428
COOPER, M|12.08333
COOPER, R|19.93116
COOPER, W|14.59603
COOTER, R|19.61667
COOTNER, P|12.83333
COPELAND, T|17.25
CORBAE, D|9.581819
CORCORAN, M|14.22708
CORDEN, W|18.91667
CORDES, J|4.822222
CORDOBA, J|14.5
CORE, J|34.5
CORGEL, J|9.666665
CORNELL, B|17.22917
CORNES, R|13.78431
CORNETT, M|11.21667
CORNIA, G|8.208333
CORNWELL, C|18.79444
CORRIGAN, P|6
CORTES, K|11.88889
CORTS, K|29.3125
COSGEL, M|12.83333
COSIMANO, T|7.041667
COSSLETT, S|46.75
COSTA, D|14.2963
COSTA, J|30.27778
COSTANZA, R|11.18282
COSTELLO, C|12.31771
COSTINOT, A|4.6875
COTTER, K|11.91667
COTTERILL, R|13.39167
COUCH, K|17.30556
COUGHLIN, C|18.86111
COUGHLIN, P|19.95833
COULSON, N|10.72464
COURANT, P|15.46491
COURSEY, D|14.95
COURTEMANCHE, C|6.666667
COVAL, J|17.61905
COVER, J|24.43333
COWAN, R|47.66667
COWEN, T|10.96154
COWING, T|30.5
COX, C|36
COX, D|32.67227
COX, G|11.02778
COX, J|52.07439
COX, K|11.875
COX, W|12.63333
COXHEAD, I|8.05
CRAFTS, N|23
CRAGG, J|24.83333
CRAGG, M|12.5
CRAIG, L|5.966666
CRAIG, P|7.25
CRAIG, S|11.15909
CRAIN, W|10.2197
CRAINE, R|11.05556
CRAM, P|2.25
CRAMER, J|21.48333
CRAMTON, P|31.00926
CRANE, R|25.75
CRASWELL, R|22.44444
CRAWFORD, E|5.0983
CRAWFORD, G|10.58333
CRAWFORD, V|43.17157
CREMER, H|8.142754
CREMERS, K|12.55556
CREMERS, M|5.666667
CRESSIE, N|5.416667
CREW, M|11.5
CRIHFIELD, J|9.875
CRIPPS, M|5.95
CROCKER, K|20.35
CROCKER, T|9.969298
CRONQVIST, H|18.625
CROPPER, M|20.02193
CROSON, R|19.84167
CROSS, J|12.4
CROW, B|6.25
CROWDER, W|11.63889
CRUCINI, M|26.51515
CUBBAGE, F|11.75
CUDDINGTON, J|14.5119
CUKIERMAN, A|37.16666
CULLEN, J|13.33333
CUMBY, R|17.75
CUMMINGS, R|23.64688
CUMMINS, J|10.71726
CUNHA, F|15.01667
CUNY, C|16.16667
CUOCO, D|24.75
CURME, M|5.5
CURRENT, J|4.208333
CURRID, E|10.5
CURRIE, J|18.88242
CURTIS, E|3.875
CUTLER, D|19.35
CVITANIC, J|7.718749
CYERT, R|16.78572
CYNAMON, B|4
DACEY, M|20.66667
DAFNY, L|6.7
DAGANZO, C|35.81609
DAGSVIK, J|3.416667
DAHIYA, S|5.787501
DAHL, G|15.54167
DAHLGRAN, R|7.444444
DAHLGREN, J|16.33333
DAI, Q|15
DAILEY, D|52.5
DAL BO, E|7.2875
DAL BO, P|11.95333
DALL'ERBA, S|7
DALRYMPLE, D|43.33333
DALY, G|8.625
DALY, H|20.15476
DAMMON, R|11.16667
DAMODARAN, A|13.77778
DANA, J|29.79167
DANIEL, B|10.4
DANIEL, J|18.05
DANIEL, N|27.11111
DANIELSEN, A|7.333333
DANIELSON, L|13.375
DANSBY, R|18.25
DANTHINE, J|25.5
DANTZIG, G|9
DANZIGER, S|11.45392
DANZON, P|19.56973
DAOUK, H|10.52778
DARBY, M|54.49417
DARCY, S|7.5
DARDANONI, V|26.16667
DARE, W|7.166667
DARGAY, J|17.16667
DARGE, R|26.98958
DARITY, W|9.685897
DARK, F|87.75
DAS VARMA, G|8.125
DAS, M|8.75
DAS, S|15.37333
DASGUPTA, A|5.5
DASGUPTA, M|12.5
DASGUPTA, P|33.97576
DASKIN, M|21.70833
DATAR, S|13.55556
DATTA, M|4.333333
DATTA, R|4.875
DAUGHETY, A|8.02
DAVERN, M|10.5
DAVID, M|14.33333
DAVID, P|73.94231
DAVIDOFF, T|10.9375
DAVIDSON, C|16.02667
DAVIDSON, D|18
DAVIDSON, L|6.444444
DAVIES, R|8.986111
DAVIS, D|15.42917
DAVIS, E|8
DAVIS, G|13.99242
DAVIS, J|10.01316
DAVIS, M|10.58333
DAVIS, O|13.95
DAVIS, P|22.5
DAVIS, S|21.56842
DAVUTYAN, N|11.5
DAWES, R|29.65555
DAWID, H|4.75
DAY, J|3.8
DAY, R|27.90476
DAY, T|25
DE BRAUW, A|8.961111
DE FIGUEIREDO, R|7.722222
DE GORTER, H|8.288889
DE GROOT, R|50.81198
DE JANVRY, A|10.4125
DE JONG, R|8.95
DE LOECKER, J|22.66667
DE NEUFVILLE, R|8.1
DE PALMA, A|8.020833
DE VANY, A|10.83333
DEACON, R|38.84127
DEALESSI, L|23.5
DEAN, J|13
DEANGELO, H|31.29365
DEANGELO, L|21.5614
DEARDORFF, A|17.47619
DEATON, A|45.34782
DEB, P|10.23667
DEB, R|10.25
DEBAERE, P|9
DEBARTOLOME, C|30.75
DEBERTIN, D|5.604167
DEBONDT, W|22.875
DEBREU, G|57
DECANIO, S|13.94608
DECHERT, W|17.92857
DECHOW, P|60.32292
DEERE, C|15.375
DEERE, D|14.66667
DEFOND, M|33.23148
DEGEORGE, F|3.1
DEGORTER, H|8.142858
DEGROOT, M|17.83333
DEHEJIA, R|29.36667
DEHRING, C|3.916667
DEJANVRY, A|13.72549
DEJONG, D|11.82759
DEJUAN, J|3.625
DEKEL, E|15.58908
DEKLE, R|11.46
DEL GUERCIO, D|22.48333
DELEIRE, T|10.3119
DELI, D|14.75
DELIMA, P|18.25
DELLAVIGNA, S|17.45238
DELLER, S|11.96667
DELLIS, A|3.25
DELMAS, M|4.333333
DELONG, G|29
DELONG, J|51.65
DELORME, C|3.714286
DELTAS, G|10.70833
DELUCHI, M|6.555556
DEMANGE, G|32.05556
DEMARCHI, N|5.5
DEMARZO, P|15.41667
DEMELO, J|7.551235
DEMIRGUC-KUNT, A|20.50208
DEMSETZ, H|273.15
DEMSKI, J|21.51042
DEN HAAN, W|10.675
DENECKERE, R|26.37121
DENG, Y|10.29889
DENHAAN, W|22.07143
DENIS, D|18.90909
DENNIS, P|10.66667
DEO, R|11.27778
DEOLALIKAR, A|15.53646
DEPALMA, A|18.38141
DEPKEN, C|9.854167
DERRIG, R|8.701666
DESAI, M|7.891304
DESAI, P|12.41667
DESAI, R|6.833333
DESALVO, J|13.90909
DESARBO, W|8.708334
DESCHENES, O|11.95
DESERPA, A|30.73333
DESHMUKH, S|8.75
DESJARDINS, S|8.083334
DESPOTAKIS, K|9.75
DESSEIN, W|34.4
DETEMPLE, J|18.57444
DEVANY, A|19.88235
DEVARAJAN, S|13.18519
DEVEREUX, J|5.166667
DEVINE, J|9.5
DEVOS, S|5.25
DEVRIES, J|77
DEWENTER, K|26.16667
DEWEY, D|16.5
DHALIWAL, D|6.958333
DHARMAPALA, D|9.166667
DHAWAN, R|8.25
DHILLON, U|3.708333
DHRYMES, P|12.925
DI TELLA, R|26.75
DIAMOND, D|187.0938
DIAMOND, P|59.28125
DIANA, M|14.33333
DIAZ, J|9.583333
DIAZALEJANDRO, C|90.66666
DIBA, B|12.95238
DIBOOGLU, S|5.861112
DICHEV, I|64.5
DICK, A|12.01923
DICKIE, M|7.772727
DICKINSON, D|8.925926
DIEBOLD, F|36.21415
DIELMAN, T|8.5
DIERMEIER, D|16.29167
DIETRICH, J|5.047619
DIEWERT, W|77.01515
DILLARD, D|21
DILORENZO, T|7.555555
DILTS, D|4.5
DIMARANAN, B|3.583333
DIMASI, J|74.42708
DIMMICK, J|8.458332
DINAN, D|9.5
DINARDO, J|31.82604
DINC, I|23.16667
DING, C|5.111111
DING, L|4.25
DING, W|8.25
DINLERSOZ, E|4.638889
DINOPOULOS, E|13.64815
DION, F|8.166667
DIONNE, G|9.527778
DITTMAR, A|38
DITTMAR, R|15.56944
DIXIT, A|66.96142
DOANE, M|25.33334
DOBKIN, C|5.212963
DODD, P|84.55
DOEPKE, M|16.77778
DOERINGER, P|8.533334
DOERPINGHAUS, H|3.944444
DOHERTY, N|10.775
DOLADO, J|21.36667
DOLBEAR, F|6.285714
DOLMAS, J|4.666667
DOMAR, E|52.9
DOMINGUEZ, K|18.77778
DOMOWITZ, I|25.86111
DONALD, S|16.95833
DONALDSON, J|10.83333
DONALDSON, T|18.25
DONG, D|4.5625
DONG, X|5.768518
DONG, Y|24.61111
DONIHUE, M|8.5
DONNENFELD, S|8.4375
DONOHUE, J|15.71667
DOOLEY, M|21.48333
DOPUCH, N|8.694444
DORASZELSKI, U|8.386364
DORFMAN, J|6.277778
DORFMAN, R|48.33333
DORNBUSC.R|67.75
DORNBUSCH, R|68.91333
DOSS, C|13.76923
DOSSANI, R|13.83333
DOUGLAS, G|22.75
DOW, W|6.055555
DOWALL, D|10.83333
DOWLATABADI, H|17.75
DOWNES, T|17.09259
DOWNING, P|18.83333
DOWNS, D|6.4
DOYLE, J|9.759091
DRAGANSKA, M|8.888889
DRAGO, R|9.270833
DRANOVE, D|20.07099
DRAZEN, A|40.95887
DRENNAN, M|6.111111
DRESNER, M|9.183333
DREYER, J|15.25
DRISKILL, R|10.16667
DU, J|4.1
DUARTE, J|12.65476
DUBE, J|4.65
DUBEY, P|12.23958
DUBIN, J|24.68333
DUCHARME, L|17.33334
DUCHIN, F|9.75
DUE, J|6.708333
DUETSCH, L|22
DUFFEE, G|46.41667
DUFFIE, D|38.11111
DUFFY, J|9.978261
DUFFY, P|3.583333
DUFLO, E|38.46905
DUFWENBERG, M|20.57051
DUGGAN, J|4.915385
DUGGAN, M|14.42879
DUKE, J|8.840909
DUMAS, C|3.166667
DUNBAR, C|16.33333
DUNCAN, B|25.66667
DUNCAN, G|18.55088
DUNCAN, J|5
DUNIFON, R|5.75
DUNN, K|16.02778
DUNN, L|9.904762
DUNNING, D|7.333333
DUPAGNE, M|15
DUPOR, B|12.27273
DURDEN, G|12.08333
DURHAM, G|23.5
DURLAUF, S|43.83951
DURNING, D|21.83333
DURYEA, S|11.16667
DUSANSKY, R|12.63889
DUTT, A|15.5
DUTTA, P|11.13636
DUTTON, J|6
DWYER, G|15.55303
DYBVIG, P|64.65151
DYCK, I|13.5
DYE, R|25.17593
DYER, G|3.433333
DYL, E|14.41667
DYMSKI, G|8.416667
DYNARSKI, M|12.43333
DYNARSKI, S|29.75
EADES, K|16.75
EALES, J|12.38636
EARNHART, D|14.775
EASLEY, D|19.8859
EASTER, K|11.87333
EASTERBROOK, F|94.95238
EASTERLIN, R|105.1591
EASTERLY, W|39.93815
EATON, B|29.125
EATON, J|31.44928
EAVES, B|5.375
EBERLY, J|29.51515
EBERTS, R|15.96667
EBRILL, L|3.75
ECKARD, E|11.14815
ECKBO, B|15.8
ECKSTEIN, Z|16.28397
ECONOMIDES, N|47.4804
EDELMAN, B|31.66666
EDELSON, N|16.5
EDELSTEIN, M|12.5
EDEN, B|11.5
EDERINGTON, J|16.58333
EDISON, H|16.10417
EDLIN, A|15.75
EDLUND, L|11.27083
EDMANS, A|7.25
EDMISTON, K|5.309524
EDMONDS, E|15.07576
EDMONDS, J|9.816668
EDWARDS, C|9.694444
EDWARDS, F|36
EDWARDS, J|14.77778
EDWARDS, S|29.4112
EECKHOUT, J|25.6
EGGLESTON, K|7.333333
EGOROV, A|3.433333
EHLERS, L|2.395833
EHRENBERG, R|18.96111
EHRLICH, I|74.31818
EICHENBAUM, M|28.47558
EICHENGREEN, B|14.08672
EICHER, C|14.33333
EICHER, T|14.09028
EIDE, E|17.58333
EINAV, L|9.92
EISENBERG, T|19.95833
EISFELDT, A|8.333333
EISNER, R|18.94444
EISSA, N|20.3
EKELUND, R|4.884685
EKERN, S|39.5
ELBAUM, B|14
ELDENBURG, L|10
ELDER, H|8.5
ELDER, T|14.4875
ELDOR, R|5.166667
ELEFTERIADOU, L|5.666667
ELESWARAPU, V|11.33333
ELFENBEIN, D|11.75
ELHODIRI, M|13.93333
ELIAZ, K|9.25
ELLEN, I|4.4375
ELLERMAN, A|16.81111
ELLICKSON, B|30.4375
ELLICKSON, R|33
ELLIEHAUSEN, G|5.444444
ELLIOTT, G|35.11111
ELLIOTT, J|8.838889
ELLIS, G|3
ELLIS, K|16.16666
ELLIS, M|9.861111
ELLIS, R|27.21111
ELLISON, G|51.45402
ELLSON, R|6.533334
ELLWOOD, D|26.69048
ELSTER, J|193
ELTIS, D|7.416667
ELTON, E|15.56078
ELUL, R|17.66667
ELY, J|8.016666
ELZINGA, K|10.85714
EMERSON, M|39.25
EMERSON, R|7.75
EMMONS, W|10
EMRAN, M|5.625
ENDERS, W|16.6
ENELOW, J|10
ENGBERG, J|9.770833
ENGEL, C|24.79681
ENGEL, E|11.93254
ENGELBERG, J|3.166667
ENGELBRECHT-WIGGANS, R|11.53333
ENGELBRECHTWIGGANS, R|20.16667
ENGELHARDT, G|11.98519
ENGERMAN, S|14.68056
ENGERS, M|11.31548
ENGLE, R|145.5828
ENNETT, S|16.5
EOM, Y|24.88889
EPP, D|8.177776
EPPLE, D|27.15278
EPPLI, M|3.625
EPPS, T|39.875
EPSTEIN, A|2.375
EPSTEIN, D|8.041667
EPSTEIN, L|47.4625
EPSTEIN, R|26.38095
ERAKER, B|50.5
ERDEM, T|6.145833
EREL, I|5.583333
ERERA, A|6.666667
EREV, I|35.375
ERGIN, H|14.36667
ERICKSON, C|3.5
ERICKSON, E|12.83333
ERICKSON, M|9.402778
ERICSON, R|66.53333
ERMINI, L|8.166667
ESCARCE, J|10.3125
ESFAHANI, H|21.25
ESHEL, D|6.5
ESKELAND, G|16.23333
ESO, P|4.875
ESPEY, M|25.77778
ESPINOSA, J|9.611111
ETGAR, M|13.66667
ETHIER, W|62.41667
ETO, J|2.9
ETTLINGER, N|28.5
ETTNER, S|50.77778
ETTREDGE, M|3.208333
ETZIONI, A|29.25
EUN, C|26.53333
EVANS, D|81.95238
EVANS, G|12.77222
EVANS, H|12.25
EVANS, L|8.645833
EVANS, M|16.38258
EVANS, P|38.75758
EVANS, R|6.45
EVANS, W|20.78964
EVENSON, R|14.66667
EVERS, P|16.83334
FABOZZI, F|7.635417
FACCIO, M|72.60001
FACKLER, P|8.729167
FAFCHAMPS, M|22.66508
FAIR, R|33.61274
FAIRLIE, R|16.144
FAITH, R|8.785714
FALARIS, E|12.5
FALCON, W|6.406122
FALK, B|32.75
FALLON, P|13.5
FAMA, E|216.2083
FAN, Y|13.34524
FANG, H|8.097222
FARBER, D|30.16667
FARBER, H|39.61
FARBER, S|13.43162
FARE, R|15.31641
FARHI, E|5.683333
FARINA, E|9.1
FARLEY, R|10.33333
FARMER, R|33.45833
FARNHAM, P|9.25
FARNSWORTH, R|6.083333
FARRELL, A|8
FARRELL, J|59.87097
FARRIS, F|3.166667
FARROW, S|21.75
FARZIN, Y|16.96667
FAULHABER, G|50
FAULKENDER, M|21.16666
FAUST, J|18.96795
FAUVER, L|9.833334
FAWSON, C|4.888889
FAZZARI, S|14.34445
FEARON, J|107.8333
FEDDERSEN, T|42.125
FEDER, G|27.94445
FEDOROV, L|12.25
FEENBERG, D|18.27778
FEENEY, J|6.666667
FEENSTRA, R|33.50866
FEI, J|14.80952
FEIGE, E|30.73077
FEIGENBAUM, J|4.133333
FEIGER, G|12
FEINBERG, R|7.934783
FEINBERG, Y|9.625
FEINSTEIN, J|19.13636
FELD, S|9.354167
FELDMAN, A|12.5
FELDMAN, M|57.6579
FELDMAN, R|9.922916
FELDMAN, S|4.888889
FELDSTEI.MS|74.83334
FELDSTEIN, M|38.02023
FELIX, D|9.333333
FELLER, I|14.5625
FELLINGHAM, J|4.333333
FELLNER, W|15.2
FELS, R|7.166667
FELTHAM, G|16.27778
FELTHOVEN, R|5.55
FELTOVICH, N|17.63333
FENDRICK, A|4.207738
FENG, H|4.777778
FENG, M|9.833335
FERBER, M|10.38889
FEREJOHN, J|45.08974
FERGUSON, C|10.16667
FERGUSON, D|8.500002
FERNANDEZ, L|8.857142
FERNANDEZ, R|20.37153
FERNANDEZ-VAL, I|7.666666
FERNANDEZ-VILLAVERDE, J|9.833333
FERNANDO, C|6.866667
FERRARO, P|20.41667
FERREIRA, F|7.638889
FERREIRA, S|4
FERRIE, J|11.28333
FERRIS, J|12.16667
FERRIS, M|14.375
FERRIS, S|4.552083
FERSHTMAN, C|24.46296
FERSON, W|31.10294
FERTIG, A|27.05556
FESER, E|19.29167
FEUER, M|3.583333
FEY, M|7.527778
FEYRER, J|13.86667
FIEGENBAUM, A|23.88889
FIELD, A|21.66667
FIELD, E|13.78571
FIELD, L|11.88333
FIELDING, G|11.16667
FIELDS, D|10.22222
FIELDS, G|16.63
FIELDS, L|3.666667
FIELDS, T|17.94444
FIGLEWSKI, S|44.875
FIGLIO, D|12.38736
FIK, T|10.5
FILER, J|6.183333
FILER, R|12.29167
FILIMON, R|18
FILIPOVIC, D|8.833335
FILIPPINI, M|10
FINAN, F|7.833333
FINDEIS, J|6.833333
FINDLAY, R|23.13636
FINEGAN, T|5.527778
FINK, C|6.1875
FINKE, R|5.416666
FINKELSTEIN, A|10.67064
FINN, M|23.33333
FINNOFF, D|10.71429
FINSINGER, J|32.25
FISCH, O|10
FISCHEL, W|25.3
FISCHER, P|4.333333
FISCHER, S|59.60022
FISCHHOFF, B|16.34192
FISH, M|14.61111
FISHBACK, P|7.807017
FISHBURN, P|22.76991
FISHER, A|23.16768
FISHER, B|4.885558
FISHER, E|11.16667
FISHER, F|22.21825
FISHER, I|25.66667
FISHER, L|8.916667
FISHER, M|8.729166
FISHER, R|16.20833
FISHER-VANDEN, K|7.458333
FISHMAN, M|21.03704
FISMAN, R|19.91212
FITZGERALD, T|29.1875
FITZPATRICK, M|7.5
FJELL, K|22.25
FLABBI, L|3.92
FLAHERTY, M|30.66667
FLANAGAN, R|19.55556
FLANNERY, M|21.15873
FLATH, D|14.64286
FLAVIN, M|102.9167
FLEISHER, B|14.28627
FLEMING, J|16.58333
FLEMING, W|13.75
FLETCHER, J|8.90909
FLINN, C|22.52778
FLINN, W|8.25
FLOOD, R|22.625
FLORAX, R|16.60625
FLORES, N|9.320001
FLORIDA, R|47.69872
FLORKOWSKI, W|3.861111
FLORO, M|13.33333
FLUCK, Z|22.33333
FOERSTER, S|30.25
FOGEL, R|32.95238
FOGLI, A|8.777778
FOLEY, C|8.708332
FOLTZ, J|7.451389
FOMBY, T|30.92857
FONG, C|25.1
FONG, D|3.388889
FONG, Y|8.25
FONSECA, M|4.972222
FORBES, K|27.29445
FORBES, S|8.583333
FOREMAN, S|3.333333
FORMAN, C|5.166667
FORMBY, J|4.111111
FORREST, A|8.388887
FORRESTER, J|24
FORSBERG, L|9.916666
FORSTATER, M|9.333333
FORT, R|10.75961
FOSTEL, A|7.166667
FOSTER, A|25.72024
FOSTER, D|15.51515
FOSTER, E|23.16667
FOSTER, F|30.2
FOSTER, J|14.25758
FOSTER, K|4.82
FOURNIER, G|9.766666
FOWLER, C|13.25
FOX, C|35.33333
FOX, J|18.23148
FRANCIOSI, R|5.620833
FRANCIS, B|4.033333
FRANCIS, J|19.58333
FRANCIS, N|12.5
FRANCIS, P|12.16667
FRANK, C|29
FRANK, D|2.333333
FRANK, R|31.47047
FRANKEL, D|11.83333
FRANKEL, J|45.45795
FRANKEL, R|22.3
FRANKENBERG, E|9.258333
FRANKS, J|23.95238
FRAZZINI, A|21.83333
FRECH, H|8.422222
FRECHETTE, D|7.5
FRECHETTE, G|5.625
FREDERICK, S|39.53333
FREDRIKSSON, P|8.889881
FREEMAN, P|10.91667
FREEMAN, R|33.91534
FREEMAN, S|19.0641
FREES, E|9.351852
FREMLING, G|6
FRENCH, K|164.8409
FRENCH, M|8.967544
FRENKEL, J|33.60416
FRESHWATER, D|5.055555
FREY, B|28.66667
FRICK, K|3.34375
FRIED, D|44.5
FRIED, J|45.44443
FRIEDBERG, L|20.125
FRIEDBERG, R|75.33334
FRIEDEN, J|11.66667
FRIEDLAE.AF|38.5
FRIEDLAENDER, A|14.36508
FRIEDMAN, B|25.7931
FRIEDMAN, D|24.46161
FRIEDMAN, E|23.33333
FRIEDMAN, J|24.65054
FRIEDMAN, M|56.88095
FRIEDMAN, P|5.5
FRIEDMANN, J|11.22222
FRIEND, I|28.02778
FRIESZ, T|12.53623
FRISVOLD, G|7.645833
FROEB, L|8.366667
FROHLICH, N|10.2
FROMM, G|23
FROOT, K|49.15
FROYEN, R|7.979167
FRYBACK, D|2.227273
FRYDMAN, R|20.20238
FRYE, T|28.875
FRYER, R|12.7
FRYKBLOM, P|10.54286
FUCHS, V|27.01667
FUDENBERG, D|36.82759
FUJII, E|7.157143
FUJITA, M|28.85897
FULGHIERI, P|14.66667
FULLER, B|4.9
FULLER, W|137.5667
FULLERTON, D|19.90123
FULLERTON, T|5.708333
FUNG, H|4.498485
FUNG, K|7.583333
FUNG, W|45.95833
FUNKHOUSER, E|18.5
FURCERI, D|5.214286
FURUBOTN, E|16.5
FUSFELD, D|12.5
GABAIX, X|31.10098
GABRIEL, S|7.94
GAGNON, J|14.8
GAHVARI, F|6.306667
GAIHA, R|7.625
GAILE, G|15.83333
GAL-OR, E|10.33333
GALBRAITH, J|12.59524
GALE, D|38.3227
GALE, I|15.61765
GALE, S|7.25
GALENSON, D|12.10714
GALI, J|58.10215
GALIANI, S|7.462501
GALLAGHER, K|6.555557
GALLAGHER, P|8.009523
GALLANT, A|35.83333
GALLINI, N|37.5
GALLMAN, R|6.416667
GALLMEYER, M|4.266666
GALOR, E|38.38889
GALOR, O|42.13021
GALPIN, N|2.333333
GAMPER-RABINDRAN, S|12.66667
GANDAL, N|15.47381
GANDAR, J|5.555555
GANDE, A|9.716666
GANDERTON, P|11.33333
GANDHI, A|1.875
GANGNES, B|5
GANSLANDT, M|7
GANT, J|25.5
GARBACZ, C|11.84615
GARBADE, K|15.75
GARBER, A|22.48333
GARBER, P|30.20588
GARCIA, A|3.791667
GARCIA, D|9
GARCIA, P|5.513158
GARCIAMILA, T|28.77777
GARDINER, J|3.366667
GARDNER, B|26.44565
GARDNER, E|43.33333
GARDNER, G|5.625
GARDNER, R|9.110186
GAREN, J|56.21429
GARFINKEL, I|6.794871
GARFINKEL, M|15.13889
GARHART, R|6.25
GARIBALDI, P|12.4375
GARICANO, L|21.99242
GARLAPPI, L|12.3
GARLEANU, N|8.344444
GARMAISE, M|7.75
GARMAN, M|37.3
GARNER, C|7.5
GARRATT, R|7.444445
GARRETT, G|11.5
GARRISON, L|5.497619
GARTNER, W|10.91667
GARVEY, G|17.55556
GASKINS, D|18.5
GASTWIRT.JL|114.5
GASTWIRTH, J|7.309524
GATELY, D|17.57692
GATSIOS, K|5.166667
GATZLAFF, D|13.77917
GAUTHIER, H|16.625
GAVER, J|35.54167
GAVIN, M|14
GAWANDE, K|10.42857
GAY, G|11.83333
GAYER, T|8.559524
GAYNOR, M|14.03205
GE, W|17.55556
GEANAKOPLOS, J|20.6408
GECZY, C|16.79167
GEDDES, R|5.222222
GEGAX, D|7.583335
